Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week
Liberty,Delaware,0,1,C-USA,CAA,1
Lipscomb,Tennessee,0,3,Atlantic Sun,SEC,1
Long Beach State,Boston College,4,2,Big West,ACC,1
Louisiana,South Florida,2,0,Sun Belt,AAC,1
Loyola (MD),Temple,1,0,Patriot,AAC,1
Loyola-Chicago,Kansas,1,4,A10,Big 12,1
Maine,Rhode Island,0,1,Am East,A10,1
Marshall,High Point,1,0,Sun Belt,Big South,1
Mercer,Mississippi Valley,0,4,Southern,SWAC,1
Miami (FL),Florida Atlantic,1,1,ACC,AAC,1
Miami (OH),Indiana State,0,0,MAC,MVC,1
Middle Tennessee,Belmont,3,1,C-USA,MVC,1
Minnesota,New Hampshire,4,0,Big Ten,Am East,1
Missouri State,Oklahoma State,1,2,MVC,Big 12,1
NJIT,Saint Peter's,7,0,Am East,MAAC,1
Navy,St. John's,0,0,Patriot,Big East,1
Nebraska,Baylor,2,1,Big Ten,Big 12,1
New Mexico,Northern Arizona,0,0,Mountain West,Big Sky,1
Nicholls,Florida International,0,7,Southland,C-USA,1
North American University,Arkansas Pine Bluff,4,2,Red River,SWAC,1
North Dakota,Boise State,3,2,Summit,Mountain West,1
North Dakota State,Montana,3,1,Summit,Big Sky,1
North Florida,East Carolina,0,0,Atlantic Sun,AAC,1
North Texas,Northwestern State,3,0,AAC,Southland,1
Northern Colorado,Iowa State,1,0,Big Sky,Big 12,1
Oakland,Eastern Michigan,1,0,Horizon,MAC,1
Ohio State,Buffalo,2,1,Big Ten,MAC,1
Oklahoma,Oral Roberts,2,4,Big 12,Summit,1
Old Dominion,Campbell,0,2,Sun Belt,CAA,1
Omaha,Utah Tech,0,0,Summit,WAC,1
Pacific,Eastern Washington,3,2,WCC,Big Sky,1
Pepperdine,Michigan,2,2,WCC,Big Ten,1
Portland State,Seattle,0,5,Big Sky,WAC,1
Providence,Quinnipiac,0,3,Big East,MAAC,1
Purdue,Iona University,8,0,Big Ten,MAAC,1
Purdue Fort Wayne,St. Francis (Ind.),0,7,Horizon,Crossroads,1
Richmond,Nevada,0,0,A10,Mountain West,1
Rider,LIU,0,1,MAAC,Northeast,1
Rutgers,Hofstra,0,1,Big Ten,CAA,1
SIUE,Wisconsin-Milwaukee,3,1,OVC,Horizon,1
Sacramento State,UC Davis,0,3,Big Sky,Big West,1
Saint Joseph's,William & Mary,0,0,A10,CAA,1
Sam Houston State,Louisiana-Monroe,1,3,C-USA,Sun Belt,1
Samford,DePaul,2,1,Southern,Big East,1
San Diego,UC Riverside,0,0,WCC,Big West,1
San Diego State,UTEP,2,1,Mountain West,C-USA,1
San Jose State,UC Santa Barbara,1,1,Mountain West,Big West,1
Seton Hall,Central Connecticut,1,2,Big East,Northeast,1
Siena College,Syracuse,3,0,MAAC,ACC,1
Southeast Missouri State,Grambling State,1,4,OVC,SWAC,1
Southern Indiana,North Alabama,1,1,OVC,Atlantic Sun,1
St. Bonaventure,Cleveland State,1,3,A10,Horizon,1
St. Mary's (CA),Idaho State,2,1,WCC,Big Sky,1
Stetson,Air Force,2,3,Atlantic Sun,Mountain West,1
Stony Brook,Bryant,0,0,CAA,Am East,1
Tarleton State,Texas A&M-Commerce,2,0,WAC,Southland,1
Tennessee Tech,UT Chattanooga,0,1,OVC,Southern,1
Texas A&M,Washington State,2,3,SEC,Pac-12,1
Texas Southern,Abilene Christian,0,3,SWAC,WAC,1
Texas State,Central Arkansas,1,5,Sun Belt,Atlantic Sun,1
Texas Tech,New Mexico State,0,5,Big 12,C-USA,1
Towson,Howard,0,1,CAA,Northeast,1
Tulsa,Stephen F. Austin,0,1,AAC,WAC,1
UC San Diego,Sacred Heart,1,0,Big West,Northeast,1
UMBC,Longwood,0,1,Am East,Big South,1
UNC Wilmington,VCU,0,5,CAA,A10,1
UNLV,CSUN,0,0,Mountain West,Big West,1
UTRGV,Texas A&M-Corpus Christi,2,1,WAC,Southland,1
UTSA,McNeese State,2,0,AAC,Southland,1
Utah Valley,Houston Christian,1,5,WAC,Southland,1
VMI,UNC Asheville,1,0,Southern,Big South,1
Valparaiso,Northern Illinois,0,1,MVC,MAC,1
Vanderbilt,Massachusetts,0,0,SEC,A10,1
Vermont,Merrimack,1,4,Am East,Northeast,1
Villanova,Lehigh,1,1,Big East,Patriot,1
Wake Forest,Army,1,1,ACC,Patriot,1
West Virginia,St. Francis (Pa.),0,9,Big 12,Northeast,1
Western Carolina,Queens (N.C.),0,0,Southern,Atlantic Sun,1
Winthrop,The Citadel,1,1,Big South,Southern,1
Wisconsin,UIC,0,1,Big Ten,MVC,1
Wisconsin-Green Bay,Drake,0,1,Horizon,MVC,1
Wyoming,Weber State,1,0,Mountain West,Big Sky,1
Xavier,Louisville,0,2,Big East,ACC,1
Youngstown State,Akron,1,0,Horizon,MAC,1
